DEPARTAMENTO,MUNICIPIO,NUMERO_DEL_PREDIO,NUMERO_DE_ORDEN,TOTAL_REGISTROS,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA,AVALUO,VIGENCIA,NUMERO_PREDIAL_ANTERIOR
27,495,0001000000010011000000000,1,1,O,157877042,0,10518671000,1012022,100010011000
27,495,0001000000010011500000001,1,1,A,0,39,2677000,1012022,100010011001
27,495,0001000000010011500000002,1,1,A,0,39,2677000,1012022,100010011002
27,495,0001000000010011500000003,1,1,A,0,39,2677000,1012022,100010011003
27,495,0001000000010011500000004,1,1,A,0,39,2677000,1012022,100010011004
27,495,0001000000010011500000005,1,1,A,0,39,2677000,1012022,100010011005
27,495,0001000000010011500000006,1,1,A,0,39,2677000,1012022,100010011006
27,495,0001000000010011500000007,1,1,A,0,39,2677000,1012022,100010011007
27,495,0001000000010012000000000,1,1,D,314698720,0,20967025000,1012022,100010012000
27,495,0001000000010014000000000,1,1,O,9776000,0,651333000,1012022,100010014000
27,495,0001000000010015000000000,1,1,O,1971700,0,131367000,1012022,100010015000
27,495,0001000000010016000000000,1,2,D,26666,0,2763000,1012022,100010016000
27,495,0001000000010016000000000,2,2,D,26666,0,2763000,1012022,100010016000
27,495,0001000000010017000000000,1,1,D,40750,0,4224000,1012022,100010017000
27,495,0001000000010018000000000,1,1,D,30000,0,3110000,1012022,100010018000
27,495,0001000000010019000000000,1,1,D,2400,0,249000,1012022,100010019000
27,495,0001000000010020000000000,1,1,D,50000,0,5183000,1012022,100010020000
27,495,0001000000010021000000000,1,1,D,683750,0,70865000,1012022,100010021000
27,495,0001000000010022000000000,1,1,D,443750,0,45991000,1012022,100010022000
27,495,0001000000010023000000000,1,1,D,7562,0,2800000,1012022,100010023000
27,495,0001000000010024000000000,1,1,D,9000,0,23319000,1012022,100010024000
27,495,0001000000010025000000000,1,1,D,189000,0,19589000,1012022,100010025000
27,495,0001000000010026000000000,1,1,D,103200,0,10696000,1012022,100010026000
27,495,0001000000010027000000000,1,1,D,7500,0,777000,1012022,100010027000
27,495,0001000000010028000000000,1,1,D,280000,0,103640000,1012022,100010028000
27,495,0001000000010029000000000,1,1,D,5000,0,518000,1012022,100010029000
27,495,0001000000010030000000000,1,2,D,60300,0,6251000,1012022,100010030000
27,495,0001000000010030000000000,2,2,D,60300,0,6251000,1012022,100010030000
27,495,0001000000010031000000000,1,1,D,6146,0,54597000,1012022,100010031000
27,495,0001000000010032000000000,1,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010032000000000,2,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010032000000000,3,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010032000000000,4,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010032000000000,5,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010032000000000,6,6,D,18125,0,6709000,1012022,100010032000
27,495,0001000000010033000000000,1,1,D,331438,0,68701000,1012022,100010033000
27,495,0001000000010034000000000,1,1,R,250,0,95500,1012022,100010034000
27,495,0001000000010035000000000,1,1,R,250,0,95500,1012022,100010035000
27,495,0001000000010036000000000,1,1,R,250,0,95500,1012022,100010036000
27,495,0001000000010037000000000,1,1,R,200,0,76000,1012022,100010037000
27,495,0001000000010038000000000,1,1,R,250,0,95500,1012022,100010038000
27,495,0001000000010039000000000,1,1,R,250,0,95500,1012022,100010039000
27,495,0001000000010040000000000,1,1,R,300,0,113000,1012022,100010040000
27,495,0001000000010041000000000,1,1,R,250,0,95500,1012022,100010041000
27,495,0001000000010042000000000,1,1,D,42500,0,4404000,1012022,100010042000
27,495,0001000000010043000000000,1,1,D,13334,0,1383000,1012022,100010043000
27,495,0001000000010044000000000,1,1,D,22600,0,2341000,1012022,100010044000
27,495,0001000000010045000000000,1,1,D,1800,0,187000,1012022,100010045000
27,495,0001000000010046000000000,1,1,D,200,0,20500,1012022,100010046000
27,495,0001000000010047000000000,1,1,D,400,0,41000,1012022,100010047000
27,495,0001000000010048000000000,1,1,A,255,0,98000,1012022,100010048000
27,495,0001000000010049000000000,1,1,A,6856,0,2606000,1012022,100010049000
27,495,0001000000010050000000000,1,1,D,10000,0,2072000,1012022,100010050000
27,495,0001000000010051000000000,1,1,A,203,0,1852000,1012022,100010051000
27,495,0001000000010052000000000,1,2,A,239,0,2181000,1012022,100010052000
27,495,0001000000010052000000000,2,2,A,239,0,2181000,1012022,100010052000
27,495,0001000000010053000000000,1,1,D,14550,0,5386000,1012022,100010053000
27,495,0001000000010054000000000,1,1,D,2000,0,741000,1012022,100010054000
27,495,0001000000010055000000000,1,1,D,2000,0,741000,1012022,100010055000
27,495,0001000000010056000000000,1,1,D,300000,0,19989000,1012022,100010056000
27,495,0001000000010057000000000,1,2,D,2050,0,758000,1012022,100010057000
27,495,0001000000010057000000000,2,2,D,2050,0,758000,1012022,100010057000
27,495,0001000000010058000000000,1,1,D,2000,0,741000,1012022,100010058000
27,495,0001000000010059000000000,1,1,D,2000,0,741000,1012022,100010059000
27,495,0001000000010060000000000,1,1,D,10000,0,3702000,1012022,100010060000
27,495,0001000000010061000000000,1,1,D,4000,0,1480000,1012022,100010061000
27,495,0001000000010062000000000,1,1,D,97600,0,10116000,1012022,100010062000
27,495,0001000000010063000000000,1,1,D,979000,0,65229000,1012022,100010063000
27,495,0001000000010064000000000,1,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,2,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,3,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,4,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,5,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,6,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010064000000000,7,7,D,430300,0,28669000,1012022,100010064000
27,495,0001000000010065000000000,1,2,D,282000,0,29226000,1012022,100010065000
27,495,0001000000010065000000000,2,2,D,282000,0,29226000,1012022,100010065000
27,495,0001000000010066000000000,1,1,D,8200,0,850000,1012022,100010066000
27,495,0001000000010067000000000,1,1,D,132700,0,8842000,1012022,100010067000
27,495,0001000000010068000000000,1,1,D,128700,0,47638000,1012022,100010068000
27,495,0001000000010069000000000,1,1,D,6800,0,452000,1012022,100010069000
27,495,0001000000010070000000000,1,1,D,124000,0,45897000,1012022,100010070000
27,495,0001000000010071000000000,1,1,D,150000,0,15546000,1012022,100010071000
27,495,0001000000010072000000000,1,1,D,21200,0,2197000,1012022,100010072000
27,495,0001000000010073000000000,1,1,D,7600,0,787000,1012022,100010073000
27,495,0001000000010074000000000,1,1,D,74800,0,11074000,1012022,100010074000
27,495,0001000000010075000000000,1,1,D,157200,0,16292000,1012022,100010075000
27,495,0001000000010076000000000,1,1,D,820000,0,84983000,1012022,100010076000
27,495,0001000000010077000000000,1,1,D,603480,0,89351000,1012022,100010077000
27,495,0001000000010078000000000,1,1,D,120000,0,17766000,1012022,100010078000
27,495,0001000000010079000000000,1,1,D,460500,0,95453000,1012022,100010079000
